WGU Course,WGU Course Name,External Course,Provider,Transfer Status
C180,Introduction to Psychology,Psychology 101 (SDCM-0017),Study,No
C180,Introduction to Psychology,Psychology 310 (SDCM-0180),Study,No
C180,Introduction to Psychology,PSYCHOLOGY 315 (SDCM-0184,Study,No
C180,Introduction to Psychology,PSY101,WGU Academy,No
C181,Survey of United States Constitution and Government,CIV101 (OOSL-0040),Straighterline,No
C181,Survey of United States Constitution and Government,CIV102 (OOSL-0043),Straighterline,No
C181,Survey of United States Constitution and Government,DLSI-0021 Introduction to Macroeconomics,DLSI,No
C181,Survey of United States Constitution and Government,DLSI-0022 American Government,DLSI,No
C181,Survey of United States Constitution and Government,DLSI-0025 Introduction to Microeconomics,DLSI,No
C181,Survey of United States Constitution and Government,ECON1001 (SOPH-0012),Sophia,No
C181,Survey of United States Constitution and Government,ECON1002 (SOPH-0011),Sophia,No
C181,Survey of United States Constitution and Government,HIST1001 (SOPH-0022),Sophia,No
C181,Survey of United States Constitution and Government,HIST1002 (SOPH-0025),Sophia,No
C181,Survey of United States Constitution and Government,MACROECONOMICS (OOSL-0007),Straighterline,No
C181,Survey of United States Constitution and Government,MICROECONOMICS (OOSL-0008),Straighterline,No
C181,Survey of United States Constitution and Government,POLS101 (OOSL-0063),Straighterline,No
C181,Survey of United States Constitution and Government,SURVEY OF WORLD HISTORY (OOSL-0092),Straighterline,No
C181,Survey of United States Constitution and Government,USHIST101 (OOSL-0039),Straighterline,No
C181,Survey of United States Constitution and Government,USHIST102 (OOSL-0044),Straighterline,No
C181,Survey of United States Constitution and Government,Economics 101 (SDCM-0069),Study,No
C181,Survey of United States Constitution and Government,Economics 102 (SDCM-0060),Study,No
C181,Survey of United States Constitution and Government,History 100 (SDCM-0154),Study,No
C181,Survey of United States Constitution and Government,History 101 (SDCM-0011),Study,No
C181,Survey of United States Constitution and Government,History 102 (SDCM-0038),Study,No
C181,Survey of United States Constitution and Government,History 103 (SDCM-0012),Study,No
C181,Survey of United States Constitution and Government,History 104 (SDCM-0039),Study,No
C181,Survey of United States Constitution and Government,History 105 (SDCM-0155),Study,No
C181,Survey of United States Constitution and Government,History 106 (SDCM-0040),Study,No
C181,Survey of United States Constitution and Government,History 108 (SDCM-0041),Study,No
C181,Survey of United States Constitution and Government,History 306 (SDCM-0065),Study,No
C181,Survey of United States Constitution and Government,History 307 (SDCM-0156),Study,No
C181,Survey of United States Constitution and Government,History 308 (SDCM-0066),Study,No
C181,Survey of United States Constitution and Government,History 309 (SDCM-0157),Study,No
C181,Survey of United States Constitution and Government,History 311 (SDCM-0158),Study,No
C181,Survey of United States Constitution and Government,Political Science 101 (SDCM-0133),Study,No
C181,Survey of United States Constitution and Government,Political Science 102 (SDCM-0042),Study,No
C181,Survey of United States Constitution and Government,Political Science 103 (SDCM-0159),Study,No
C181,Survey of United States Constitution and Government,POLS101,WGU Academy,No
C182,Introduction to IT,Business 109 (SDCM-0010),Study,No
C182,Introduction to IT,Computer Science 102 (SDCM-0165),Study,No
C182,Introduction to IT,CS1001 (SOPH-0023),Sophia,No
C182,Introduction to IT,IT Career Framework,edX,No
C182,Introduction to IT,IT Support,Per Scholas,No
C182,Introduction to IT,IT101 (OOSL-0090),Straighterline,No
C182,Introduction to IT,Network Support,Per Scholas,No
C188,Software Engineering,Computer Science 307 (SDCM-0220),Study,No
C188,Software Engineering,CS302 (SAYA-0018),Saylor,No
C190,Introduction to Biology,BIO101 (OOSL-0017),Straighterline,No
C190,Introduction to Biology,BIO101 (SAYA-0002),Saylor,No
C190,Introduction to Biology,BIO101 (SAYA-0019),Saylor,No
C190,Introduction to Biology,Biology 101 (SDCM-0001),Study,No
C190,Introduction to Biology,Biology 101L (SDCM-0188),Study,No
C190,Introduction to Biology,DLSI-0002 Biology,DLSI,No
C190,Introduction to Biology,HUMBIO1001 (SOPH-0002),Sophia,No
C190,Introduction to Biology,BIO101,WGU Academy,No
C191,Operating Systems for Programmers,Computer Science 106 (SDCM-0226),Study,No
C191,Operating Systems for Programmers,IT Support,Per Scholas,No
